Total,,Store,Six-Digit SKU,Product,Tax Code,Store Number,Common Name,Sub-Category,Date 1,Price 1,Date 2,Price 2,Date 3,Price 3,Date 4,Price 4,Date 5,Price 5,Date 6,Price 6
"=SUM(K116,M116,O116,Q116,S116,U116)",,Publix,NA,Tf Everything Salad Chop,TF,120,Taylor Farms Everything Chopped Salad Kit,Salad Kits,2026-08-28 00:00:00,3.33,,,,,,,,,,
"=SUM(K117,M117,O117,Q117,S117,U117)",,Publix,NA,Hagen David Blackberry,T,120,Häagen-Dazs Blackberry Ice Cream,Wine,2026-08-28 00:00:00,7.19,,,,,,,,,,
"=SUM(K118,M118,O118,Q118,S118,U118)",,Publix,NA,Tax,NA,120,Tax,Fees & Charges,2026-08-28 00:00:00,0.5,,,,,,,,,,
"=SUM(K119,M119,O119,Q119,S119,U119)",,Publix,NA,Tf Everything Salad Chop,TF,120,Taylor Farms Everything Chopped Salad Kit,Salad Kits,2026-08-28 00:00:00,3.34,,,,,,,,,,
"=SUM(K120,M120,O120,Q120,S120,U120)",,Publix,NA,Bananas,NA,120,Bananas,Fresh Fruit,2026-08-28 00:00:00,1.53,2026-09-03 00:00:00,NA,,,,,,,,
"=SUM(K121,M121,O121,Q121,S121,U121)",,Publix,NA,Sweet Loren's Gf Brownie,F,120,Sweet Loren's Gluten Free Brownie Cookie Dough,Refrigerated Dough,2026-09-03 00:00:00,6.99,,,,,,,,,,
"=SUM(K122,M122,O122,Q122,S122,U122)",,Publix,NA,Publix Half&Half Hg,F,120,"Publix Half & Half, Half Gallon",Cream & Half-and-Half,2026-09-03 00:00:00,5.89,,,,,,,,,,
"=SUM(K123,M123,O123,Q123,S123,U123)",,Publix,NA,Silk Soy Organic Nsa Hg,F,120,"Silk Organic Unsweet Soymilk, Half Gallon",Plant-Based Milk,2026-09-03 00:00:00,6.79,2026-09-03 00:00:00,6.79,,,,,,,,
"=SUM(K124,M124,O124,Q124,S124,U124)",,Publix,NA,Starbucks Oat Brwn Sugar,F,120,Starbucks Oatmilk Brown Sugar Creamer,Coffee Creamer,2026-09-03 00:00:00,6.69,,,,,,,,,,
"=SUM(K125,M125,O125,Q125,S125,U125)",,Publix,NA,Quak Rice Crisp App/Cinn,F,120,Quaker Rice Crisps Apple Cinnamon,Rice Cakes & Crisps,2026-09-03 00:00:00,3.49,,,,,,,,,,
"=SUM(K126,M126,O126,Q126,S126,U126)",,Publix,NA,Quak Rice Crisp Chocolate,NA,120,Quaker Rice Crisps Chocolate,Rice Cakes & Crisps,2026-09-03 00:00:00,3.49,,,,,,,,,,
"=SUM(K127,M127,O127,Q127,S127,U127)",,Publix,NA,Klond Bar Dble Chocolate FT,F,120,Klondike Double Chocolate Bar,Frozen Desserts,2026-09-03 00:00:00,5.75,,,,,,,,,,
"=SUM(K128,M128,O128,Q128,S128,U128)",,Publix,NA,Yasso Grk Yog Bar Coff Co FT,NA,120,"Yasso Greek Yogurt Bars, Coffee Chocolate Chip",Frozen Desserts,2026-09-03 00:00:00,6.91,,,,,,,,,,
"=SUM(K129,M129,O129,Q129,S129,U129)",,Publix,NA,Yasso Grk Yog Bar Mntchep FT,F,120,"Yasso Greek Yogurt Bars, Mint Chocolate Chip",Frozen Desserts,2026-09-03 00:00:00,6.91,,,,,,,,,,
"=SUM(K130,M130,O130,Q130,S130,U130)",,Publix,NA,Dkb Org Oats & Blues Brd,F,120,Dave's Killer Bread Organic Oats & Blues,Bread,2026-09-03 00:00:00,6.79,,,,,,,,,,
"=SUM(K131,M131,O131,Q131,S131,U131)",,Publix,NA,Pbx True Bleu Salad Kt,F,120,Publix True Bleu Salad Kit,Salad Kits,2026-09-03 00:00:00,3,,,,,,,,,,
"=SUM(K132,M132,O132,Q132,S132,U132)",,Publix,NA,Pbx Makoto Ginger Sld,F,120,Publix Makoto Ginger Salad,Salad Kits,2026-09-03 00:00:00,3,,,,,,,,,,
"=SUM(K133,M133,O133,Q133,S133,U133)",,Publix,NA,Beans Green Fresh Trimmed,F,120,Fresh Trimmed Green Beans,Fresh Vegetables,2026-09-03 00:00:00,4.1,2026-09-03 00:00:00,0,,,,,,,,
"=SUM(K134,M134,O134,Q134,S134,U134)",,Publix,NA,Watermelan Seedless Wedge,F,120,Seedless Watermelon Wedge,Fresh-Cut Fruit,2026-09-03 00:00:00,3.32,,,,,,,,,,
"=SUM(K135,M135,O135,Q135,S135,U135)",,Publix,NA,limes Persian,NA,120,Persian Limes,Fresh Fruit,2026-09-03 00:00:00,0.8,,,,,,,,,,
"=SUM(K136,M136,O136,Q136,S136,U136)",,Publix,NA,Salmon Fillet,F,120,Salmon Fillet,Fresh Seafood,2026-09-03 00:00:00,46.91,,,,,,,,,,
"=SUM(K137,M137,O137,Q137,S137,U137)",,Publix,NA,Dt Sp Smk Salmon PeppaG,F,120,Smoked Salmon with Pepper,Smoked Seafood,2026-09-03 00:00:00,5.99,,,,,,,,,,
"=SUM(K138,M138,O138,Q138,S138,U138)",,Publix,NA,L/Deb Cosmic Browniés,NA,120,Little Debbie Cosmic Brownies,Snack Cakes,2026-09-03 00:00:00,3.19,,,,,,,,,,
"=SUM(K139,M139,O139,Q139,S139,U139)",,Publix,NA,Magen David Blackberry,T,120,Magen David Blackberry Wine,Wine,2026-09-03 00:00:00,7.19,,,,,,,,,,
"=SUM(K140,M140,O140,Q140,S140,U140)",,Publix,NA,Ka Flour Bread Unbl 10Lb,F,120,"King Arthur Unbleached Bread Flour, 10 lb",Baking Ingredients,2026-09-03 00:00:00,11.59,,,,,,,,,,
"=SUM(K141,M141,O141,Q141,S141,U141)",,Publix,NA,Mango,F,120,Mango,Fresh Fruit,2026-09-03 00:00:00,2.99,,,,,,,,,,
"=SUM(K142,M142,O142,Q142,S142,U142)",,Publix,NA,Sales Tax 7%,T,120,Sales Tax,Fees & Charges,2026-09-03 00:00:00,1.87,,,,,,,,,,
"=SUM(K143,M143,O143,Q143,S143,U143)",,Publix,NA,Bananas,F,120,Bananas,Fresh Fruit,2026-09-03 00:00:00,1.55,,,,,,,,,,
"=SUM(K144,M144,O144,Q144,S144,U144)",,Aldi,701574,Frmhse Rnch Chd,NA,238,Farmhouse Ranch Cheddar,Cheese,2026-09-06 00:00:00,3.29,,,,,,,,,,
"=SUM(K145,M145,O145,Q145,S145,U145)",,Aldi,356457,Organic Kale,NA,238,Organic Kale,Fresh Vegetables,2026-09-06 00:00:00,3.19,,,,,,,,,,
"=SUM(K146,M146,O146,Q146,S146,U146)",,Aldi,356591,Pink Lady Apple,NA,238,Pink Lady Apples,Fresh Fruit,2026-09-06 00:00:00,3.69,,,,,,,,,,
"=SUM(K147,M147,O147,Q147,S147,U147)",,Aldi,356686,Little Yellows,NA,238,Little Yellow Potatoes,Fresh Vegetables,2026-09-06 00:00:00,3.29,,,,,,,,,,
"=SUM(K148,M148,O148,Q148,S148,U148)",,Aldi,356427,Multi-Peppers 3,NA,238,"Multi-Color Peppers, 3-Pack",Fresh Vegetables,2026-09-06 00:00:00,2.69,,,,,,,,,,
"=SUM(K149,M149,O149,Q149,S149,U149)",,Aldi,396384,Green Grapes LRW,NA,238,Green Grapes,Fresh Fruit,2026-09-06 00:00:00,3.81,,,,,,,,,,
"=SUM(K150,M150,O150,Q150,S150,U150)",,Aldi,356417,Mandarins,NA,238,Mandarins,Fresh Fruit,2026-09-06 00:00:00,2.89,,,,,,,,,,
"=SUM(K151,M151,O151,Q151,S151,U151)",,Aldi,692109,Org Celery Heart,NA,238,Organic Celery Hearts,Fresh Vegetables,2026-09-06 00:00:00,2.59,,,,,,,,,,
"=SUM(K152,M152,O152,Q152,S152,U152)",,Aldi,466249,Head & Shoulders,NA,238,Head & Shoulders,Hair Care,2026-09-06 00:00:00,6.97,,,,,,,,,,
"=SUM(K153,M153,O153,Q153,S153,U153)",,Aldi,399518,Salt Grinders,NA,238,Salt Grinder,Seasonings & Spices,2026-09-06 00:00:00,1.59,,,,,,,,,,
"=SUM(K154,M154,O154,Q154,S154,U154)",,Aldi,399025,Peppercorn Grinder,NA,238,Peppercorn Grinder,Seasonings & Spices,2026-09-06 00:00:00,2.29,,,,,,,,,,
"=SUM(K155,M155,O155,Q155,S155,U155)",,Aldi,NA,Brocoli Crowns,NA,238,Broccoli Crowns,Fresh Vegetables,2026-09-06 00:00:00,3.95,,,,,,,,,,
"=SUM(K156,M156,O156,Q156,S156,U156)",,Aldi,NA,Banannas LRW,NA,238,Bananas,Fresh Fruit,2026-09-06 00:00:00,1.66,,,,,,,,,,
"=SUM(K157,M157,O157,Q157,S157,U157)",,Aldi,NA,Blueberries,NA,238,Blueberries,Fresh Fruit,2026-09-06 00:00:00,5.98,,,,,,,,,,
"=SUM(K158,M158,O158,Q158,S158,U158)",,Aldi,NA,Raspberries,NA,238,Raspberries,Fresh Fruit,2026-09-06 00:00:00,2.69,,,,,,,,,,
"=SUM(K159,M159,O159,Q159,S159,U159)",,Aldi,NA,Strawberries,NA,238,Strawberries,Fresh Fruit,2026-09-06 00:00:00,2.29,,,,,,,,,,
"=SUM(K160,M160,O160,Q160,S160,U160)",,Aldi,NA,GF Wide Pan Bread,NA,238,Gluten-Free Wide Pan Bread,Bread,2026-09-06 00:00:00,6.79,,,,,,,,,,
"=SUM(K161,M161,O161,Q161,S161,U161)",,Aldi,NA,Artisinal Buns,NA,238,Artisanal Buns,Bread,2026-09-06 00:00:00,2.99,,,,,,,,,,
"=SUM(K162,M162,O162,Q162,S162,U162)",,Aldi,NA,Organic Chickpeas,NA,238,Organic Chickpeas,Canned Beans & Legumes,2026-09-06 00:00:00,0.99,,,,,,,,,,
"=SUM(K163,M163,O163,Q163,S163,U163)",,Aldi,NA,Pil Flaky Biscuits,NA,238,Pillsbury Flaky Biscuits,Refrigerated Dough,2026-09-06 00:00:00,2.97,,,,,,,,,,
"=SUM(K164,M164,O164,Q164,S164,U164)",,Aldi,383249,Deli Sliced CoJack,NA,238,Deli-Sliced Colby Jack Cheese,Cheese,2026-09-06 00:00:00,1.49,,,,,,,,,,
"=SUM(K165,M165,O165,Q165,S165,U165)",,Aldi,383252,Deli Sliced Cheese,NA,238,Deli-Sliced Cheese,Cheese,2026-09-06 00:00:00,1.49,,,,,,,,,,
"=SUM(K166,M166,O166,Q166,S166,U166)",,Aldi,382473,Shredded Mozz,NA,238,Shredded Mozzarella Cheese,Cheese,2026-09-06 00:00:00,3.29,,,,,,,,,,
"=SUM(K167,M167,O167,Q167,S167,U167)",,Aldi,380809,2 Roll Paper Towel,NA,238,"Paper Towels, 2-Roll",Paper Towels,2026-09-06 00:00:00,3.89,,,,,,,,,,
"=SUM(K168,M168,O168,Q168,S168,U168)",,Aldi,344280,Cauli Crust Pizza,NA,238,Cauliflower Crust Pizza,Frozen Pizza,2026-09-06 00:00:00,8.29,,,,,,,,,,
"=SUM(K169,M169,O169,Q169,S169,U169)",,Aldi,272135,Salmon Portions,NA,238,Salmon Portions,Fresh Seafood,2026-09-06 00:00:00,8,,,,,,,,,,
"=SUM(K170,M170,O170,Q170,S170,U170)",,Aldi,388137,Large Eggs,NA,238,Large Eggs,Eggs,2026-09-06 00:00:00,3.32,,,,,,,,,,
"=SUM(K171,M171,O171,Q171,S171,U171)",,Aldi,NA,Tax,NA,238,Tax,Fees & Charges,2026-09-06 00:00:00,0.76,,,,,,,,,,
"=SUM(K172,M172,O172,Q172,S172,U172)",,Trader Joe's,NA,EMPIRE KOSHER GROUND TRK,NA,0848,Empire Kosher Ground Turkey,Fresh Poultry,2026-08-24 00:00:00,6.99,2026-08-24 00:00:00,6.99,2026-09-07 00:00:00,6.99,2026-09-07 00:00:00,6.99,2026-09-07 00:00:00,6.99,2026-09-07 00:00:00,6.99
"=SUM(K173,M173,O173,Q173,S173,U173)",,Trader Joe's,NA,MUFFIN BLUEBERRY GLUTEN,NA,0848,Gluten-Free Blueberry Muffins,Muffins & Pastries,2026-08-24 00:00:00,5.99,2026-09-07 00:00:00,NA,2026-09-07 00:00:00,NA,,,,,,
"=SUM(K174,M174,O174,Q174,S174,U174)",,Trader Joe's,NA,TAQUITOS BLACK BEAN & CH,NA,0848,Black Bean & Cheese Taquitos,Frozen Appetizers,2026-09-07 00:00:00,4.49,,,,,,,,,,
"=SUM(K175,M175,O175,Q175,S175,U175)",,Trader Joe's,NA,EMPIRE KOSHER TRKY HALF,NA,0848,Empire Kosher Turkey Half,Fresh Poultry,2026-09-07 00:00:00,19.16,,,,,,,,,,
"=SUM(K176,M176,O176,Q176,S176,U176)",,Trader Joe's,NA,EMPIRE KOSHER BNL/SKNL B,NA,0848,Empire Kosher Boneless Skinless Chicken Breast,Fresh Poultry,2026-09-07 00:00:00,10.79,2026-09-07 00:00:00,10.95,,,,,,,,
"=SUM(K177,M177,O177,Q177,S177,U177)",,Trader Joe's,NA,BEEF KOSHER GROUND 85/15,F,0848,Kosher Ground Beef 85/15,Fresh Beef,2026-09-07 00:00:00,35.97,,,,,,,,,,
"=SUM(K178,M178,O178,Q178,S178,U178)",,Trader Joe's,NA,CHOCOLATE BABKA,NA,0848,Chocolate Babka,Muffins & Pastries,2026-09-07 00:00:00,5.99,,,,,,,,,,
"=SUM(K179,M179,O179,Q179,S179,U179)",,Trader Joe's,NA,R-SALAD COMPLETE SWEET K,NA,0848,Complete Sweet Kale Salad Kit,Salad Kits,2026-09-07 00:00:00,3.49,,,,,,,,,,
"=SUM(K180,M180,O180,Q180,S180,U180)",,Trader Joe's,NA,HALF MOON  COOKIES,NA,0848,Half Moon Cookies,Cookies,2026-09-07 00:00:00,3.99,,,,,,,,,,
"=SUM(K181,M181,O181,Q181,S181,U181)",,Trader Joe's,NA,HOL PUMPKIN CREAM CHEESE ,NA,0848,Pumpkin Cream Cheese,Cream Cheese,2026-09-07 00:00:00,2.79,,,,,,,,,,
"=SUM(K182,M182,O182,Q182,S182,U182)",,Publix,NA,Chobani Fob 0% Blk Chry,NA,120,Chobani Black Cherry Greek Yogurt,Yogurt,2026-09-07 00:00:00,1,2026-09-07 00:00:00,1,,,,,,,,
"=SUM(K183,M183,O183,Q183,S183,U183)",,Publix,NA,Mc Cinn Grnd 2.370oz,NA,120,McCormick Ground Cinnamon,Seasonings & Spices,2026-09-07 00:00:00,3.29,,,,,,,,,,
"=SUM(K184,M184,O184,Q184,S184,U184)",,Publix,NA,Chobani Fob 2% Pineappple,NA,120,Chobani Pineapple Greek Yogurt,Yogurt,2026-09-07 00:00:00,1,,,,,,,,,,
"=SUM(K185,M185,O185,Q185,S185,U185)",,Publix,NA,Chobani Hero Batch Fob,NA,120,Chobani Hero Batch Greek Yogurt,Yogurt,2026-09-07 00:00:00,1,,,,,,,,,,
"=SUM(K186,M186,O186,Q186,S186,U186)",,Publix,NA,Chobani Blnd  2% Key Lime,NA,120,Chobani Key Lime Greek Yogurt,Yogurt,2026-09-07 00:00:00,1,,,,,,,,,,
"=SUM(K187,M187,O187,Q187,S187,U187)",,Publix,NA,Chobani Hero Batch Fob,NA,120,Chobani Hero Batch Greek Yogurt,Yogurt,2026-09-07 00:00:00,1,,,,,,,,,,
"=SUM(K188,M188,O188,Q188,S188,U188)",,Publix,NA,Chobani Fob 2% Stwbry Ban,NA,120,Chobani Strawberry Banana Greek Yogurt,Yogurt,2026-09-07 00:00:00,1,,,,,,,,,,
"=SUM(K189,M189,O189,Q189,S189,U189)",,Publix,NA,Chobani Fob 0% Blk Chry,NA,120,Chobani Black Cherry Greek Yogurt,Yogurt,2026-09-07 00:00:00,1,,,,,,,,,,
"=SUM(K190,M190,O190,Q190,S190,U190)",,Publix,NA,Chobani 20G Drk 4pk Straw,NA,120,"Chobani Protein Greek Yogurt Drink, Strawberries & Cream",Yogurt,2026-09-07 00:00:00,10.99,,,,,,,,,,
"=SUM(K191,M191,O191,Q191,S191,U191)",,Publix,NA,Sm Raisins Golden ,NA,120,Sun-Maid Golden Raisins,Dried Fruit,2026-09-07 00:00:00,4.45,,,,,,,,,,
"=SUM(K192,M192,O192,Q192,S192,U192)",,Publix,NA,Cho 4pk Flip Lto,NA,120,Chobani Flip 4-Pack,Yogurt,2026-09-07 00:00:00,7.19,,,,,,,,,,
"=SUM(K193,M193,O193,Q193,S193,U193)",,PapaJohns,NA,Large NY Style 1-Topping Pizza,NA,0,Papa John's Large NY Style 1-Topping Pizza,Prepared Meals,2026-09-07 00:00:00,17.33,,,,,,,,,,
"=SUM(K194,M194,O194,Q194,S194,U194)",,PapaJohns,NA,Pizza + Wings + Cheesesticks,NA,0,"Papa John's Pizza, Wings & Cheesesticks",Prepared Meals,2026-09-07 00:00:00,39.37,,,,,,,,,,
"=SUM(K195,M195,O195,Q195,S195,U195)",,SurfinTurtle,NA,Pineapple Dole Whip Cup,NA,0,Pineapple Dole Whip Cup,Prepared Meals,2026-09-09 00:00:00,5,,,,,,,,,,
"=SUM(K196,M196,O196,Q196,S196,U196)",,SurfinTurtle,NA,Hot Fudge ($,NA,0,Hot Fudge,Prepared Meals,2026-09-09 00:00:00,1,,,,,,,,,,
"=SUM(K197,M197,O197,Q197,S197,U197)",,SurfinTurtle,NA,Arctic Cyclone,NA,0,Arctic Cyclone,Prepared Meals,2026-09-09 00:00:00,6.5,,,,,,,,,,
"=SUM(K198,M198,O198,Q198,S198,U198)",,SurfinTurtle,NA,Sales Tax (7%) $,NA,0,Sales Tax,Fees & Charges,2026-09-09 00:00:00,0.8,,,,,,,,,,
"=SUM(K199,M199,O199,Q199,S199,U199)",,Publix,NA,Silk Soy Organic Nsa Hg,F,1058,"Silk Organic Unsweet Soymilk, Half Gallon",Plant-Based Milk,2026-08-25 00:00:00,6.19,2026-08-25 00:00:00,6.19,2026-08-25 00:00:00,6.19,2026-09-13 00:00:00,6.79,,,,
"=SUM(K200,M200,O200,Q200,S200,U200)",,Publix,NA,Chobani 20G Drk 4PK Straw,F,1058,"Chobani Protein Greek Yogurt Drink, Strawberries & Cream",Yogurt,2026-09-13 00:00:00,10.99,,,,,,,,,,
"=SUM(K201,M201,O201,Q201,S201,U201)",,Publix,NA,Meyers Hand Soap Lemon,T,1058,Mrs. Meyer's Lemon Verbena Hand Soap,Hand Soap,2026-09-13 00:00:00,4.99,,,,,,,,,,
"=SUM(K202,M202,O202,Q202,S202,U202)",,Publix,NA,Tums Chwy Bites Brry 60ct,NA,1058,"Tums Chewy Bites Berry, 60 Count",Antacids,2026-09-13 00:00:00,10.29,,,,,,,,,,
"=SUM(K203,M203,O203,Q203,S203,U203)",,Publix,NA,Tax,T,1058,Tax,Fees & Charges,2026-09-13 00:00:00,NA,,,,,,,,,,
"=SUM(K204,M204,O204,Q204,S204,U204)",,Walmart,NA,Purina Tidy Cats Free and Clean Clumping Cat Litter,NA,0,Purina Tidy Cats Free & Clean Clumping Cat Litter,Cat Litter,2026-09-13 00:00:00,25.94,,,,,,,,,,
"=SUM(K205,M205,O205,Q205,S205,U205)",,Walmart,NA,Mott's No Sugar Added Applesauce,NA,0,Mott's No Sugar Added Applesauce,Applesauce,2026-09-13 00:00:00,7.97,,,,,,,,,,
"=SUM(K206,M206,O206,Q206,S206,U206)",,Walmart,NA,Giovanni Rana Tortellini,NA,0,Giovanni Rana Tortellini,Refrigerated Pasta,2026-09-13 00:00:00,8.74,,,,,,,,,,
"=SUM(K207,M207,O207,Q207,S207,U207)",,Walmart,NA,Nature's Bakery Gluten Free Raspberry Fig Bars,NA,0,Nature's Bakery Gluten-Free Raspberry Fig Bars,Snack Bars,2026-09-13 00:00:00,5.97,,,,,,,,,,
"=SUM(K208,M208,O208,Q208,S208,U208)",,Walmart,NA,Tums Chewy Bites Ultra Strength Heartburn Relief Chews,NA,0,Tums Chewy Bites Ultra Strength Heartburn Relief Chews,Antacids,2026-09-13 00:00:00,11.96,,,,,,,,,,
"=SUM(K209,M209,O209,Q209,S209,U209)",,Walmart,NA,"Swiffer Sweep + Mop, Dry Pads Refill",NA,0,Swiffer Sweep + Mop Dry Pads Refill,Household Cleaners,2026-09-13 00:00:00,9.94,,,,,,,,,,
"=SUM(K210,M210,O210,Q210,S210,U210)",,Walmart,NA,Fresh Mini Seedless Watermelon,NA,0,Mini Seedless Watermelon,Fresh Fruit,2026-09-13 00:00:00,4.48,,,,,,,,,,
"=SUM(K211,M211,O211,Q211,S211,U211)",,Walmart,NA,Dave's Killer Bread Organic Oats & Blues,NA,0,Dave's Killer Bread Organic Oats & Blues,Bread,2026-09-13 00:00:00,5.98,,,,,,,,,,
"=SUM(K212,M212,O212,Q212,S212,U212)",,Walmart,NA,Chobani Low-Fat Vanilla Greek Yogurt Mixed Berry On The Bottom,NA,0,Chobani Vanilla Mixed Berry Greek Yogurt,Yogurt,2026-09-13 00:00:00,4.67,,,,,,,,,,
"=SUM(K213,M213,O213,Q213,S213,U213)",,Walmart,NA,Marketside Classic Italian Salad Kit,NA,0,Marketside Classic Italian Salad Kit,Salad Kits,2026-09-13 00:00:00,2.47,,,,,,,,,,
"=SUM(K214,M214,O214,Q214,S214,U214)",,Walmart,NA,Fresh Express Avocado Twisted Caesar Chopped Salad Kit,NA,0,Fresh Express Avocado Twisted Caesar Chopped Salad Kit,Salad Kits,2026-09-13 00:00:00,3.98,,,,,,,,,,
"=SUM(K215,M215,O215,Q215,S215,U215)",,Walmart,NA,Hunt's Tomato Paste,NA,0,Hunt's Tomato Paste,Canned Tomatoes,2026-09-13 00:00:00,1.16,,,,,,,,,,
"=SUM(K216,M216,O216,Q216,S216,U216)",,Walmart,NA,Hunt's Crushed Tomatoes,NA,0,Hunt's Crushed Tomatoes,Canned Tomatoes,2026-09-13 00:00:00,2.22,,,,,,,,,,
"=SUM(K217,M217,O217,Q217,S217,U217)",,Walmart,NA,Great Value Heavy Whipping Cream,NA,0,Great Value Heavy Whipping Cream,Cream & Half-and-Half,2026-09-13 00:00:00,2.96,,,,,,,,,,
"=SUM(K218,M218,O218,Q218,S218,U218)",,Walmart,NA,Marketside Fresh Baby Spinach,NA,0,Marketside Baby Spinach,Fresh Vegetables,2026-09-13 00:00:00,2.18,,,,,,,,,,
"=SUM(K219,M219,O219,Q219,S219,U219)",,Walmart,NA,Hebrew National Bun Length Beef Franks,NA,0,Hebrew National Bun Length Beef Franks,Hot Dogs & Sausages,2026-09-13 00:00:00,5.74,,,,,,,,,,
"=SUM(K220,M220,O220,Q220,S220,U220)",,Walmart,NA,Ball Park White Hot Dog Buns,NA,0,Ball Park White Hot Dog Buns,Bread,2026-09-13 00:00:00,3.27,,,,,,,,,,
"=SUM(K221,M221,O221,Q221,S221,U221)",,Walmart,NA,Fresh Whole Green Onion,NA,0,Green Onions,Fresh Vegetables,2026-09-13 00:00:00,0.97,,,,,,,,,,
"=SUM(K222,M222,O222,Q222,S222,U222)",,Walmart,NA,Marketside Broccoli Florets,NA,0,Marketside Broccoli Florets,Fresh Vegetables,2026-09-13 00:00:00,2.47,,,,,,,,,,
"=SUM(K223,M223,O223,Q223,S223,U223)",,Walmart,NA,Great Value Large White Eggs,NA,0,Great Value Large White Eggs,Eggs,2026-09-13 00:00:00,4.88,,,,,,,,,,
"=SUM(K224,M224,O224,Q224,S224,U224)",,Walmart,NA,Organic Marketside Fresh Baby Peeled Carrots,NA,0,Marketside Organic Baby Carrots,Fresh Vegetables,2026-09-13 00:00:00,1.83,,,,,,,,,,
"=SUM(K225,M225,O225,Q225,S225,U225)",,Walmart,NA,Taylor Farms Everything Chopped Salad Kit,NA,0,Taylor Farms Everything Chopped Salad Kit,Salad Kits,2026-09-13 00:00:00,8.24,,,,,,,,,,
"=SUM(K226,M226,O226,Q226,S226,U226)",,Walmart,NA,Mighty Sesame Fine Organic Sesame Tahini,NA,0,Mighty Sesame Organic Tahini,Dips & Spreads,2026-09-13 00:00:00,5.78,,,,,,,,,,
"=SUM(K227,M227,O227,Q227,S227,U227)",,Walmart,NA,Tabatchnick Classic Wholesome Chicken Broth,NA,0,Tabatchnick Classic Chicken Broth,Broth & Stock,2026-09-13 00:00:00,5.94,,,,,,,,,,
"=SUM(K228,M228,O228,Q228,S228,U228)",,Walmart,NA,Barilla Gluten Free Spaghetti Pasta,NA,0,Barilla Gluten-Free Spaghetti,Pasta,2026-09-13 00:00:00,5.34,,,,,,,,,,
"=SUM(K229,M229,O229,Q229,S229,U229)",,Walmart,NA,Great Value Organic Smoked Paprika Seasoning,NA,0,Great Value Organic Smoked Paprika,Seasonings & Spices,2026-09-13 00:00:00,4.36,,,,,,,,,,
"=SUM(K230,M230,O230,Q230,S230,U230)",,Walmart,NA,Ocean Spray® Craisins®,NA,0,Ocean Spray Craisins,Dried Fruit,2026-09-13 00:00:00,3.97,,,,,,,,,,
"=SUM(K231,M231,O231,Q231,S231,U231)",,Walmart,NA,Kikkoman Teriyaki Marinade & Sauce,NA,0,Kikkoman Teriyaki Marinade & Sauce,Sauces & Condiments,2026-09-13 00:00:00,3.77,,,,,,,,,,
"=SUM(K232,M232,O232,Q232,S232,U232)",,Walmart,NA,Great Value 8.5 Inch Disposable Paper Plates,NA,0,"Great Value Paper Plates, 8.5 Inch",Disposable Tableware,2026-09-13 00:00:00,5.58,,,,,,,,,,
"=SUM(K233,M233,O233,Q233,S233,U233)",,Walmart,NA,Sterilite 6 Quart Small Storage Bin,NA,0,Sterilite 6-Quart Storage Bin,Storage & Organization,2026-09-13 00:00:00,2.56,,,,,,,,,,
"=SUM(K234,M234,O234,Q234,S234,U234)",,Walmart,NA,Mainstays 4 Pack Kitchen Scrubber Dishcloth Set,NA,0,"Mainstays Kitchen Scrubber Dishcloth Set, 4-Pack",Dishwashing Supplies,2026-09-13 00:00:00,3.58,,,,,,,,,,
"=SUM(K235,M235,O235,Q235,S235,U235)",,Walmart,NA,Busch American Lager Beer,NA,0,Busch American Lager Beer,Beer,2026-09-13 00:00:00,17.87,,,,,,,,,,
"=SUM(K236,M236,O236,Q236,S236,U236)",,Walmart,NA,Great Value Half and Half,NA,0,Great Value Half & Half,Cream & Half-and-Half,2026-09-13 00:00:00,9.84,,,,,,,,,,
"=SUM(K237,M237,O237,Q237,S237,U237)",,Walmart,NA,Birds Eye Steamfresh Sweet Peas,NA,0,Birds Eye Steamfresh Sweet Peas,Frozen Vegetables,2026-09-13 00:00:00,1.27,,,,,,,,,,
"=SUM(K238,M238,O238,Q238,S238,U238)",,Walmart,NA,Spice World Fresh Peeled Garlic,NA,0,Spice World Fresh Peeled Garlic,Fresh Vegetables,2026-09-13 00:00:00,3.07,,,,,,,,,,
"=SUM(K239,M239,O239,Q239,S239,U239)",,Walmart,NA,Cracker Barrel Cracker Cuts Variety Pack Cheese Snacks,NA,0,Cracker Barrel Cracker Cuts Variety Pack,Cheese,2026-09-13 00:00:00,8.48,,,,,,,,,,
"=SUM(K240,M240,O240,Q240,S240,U240)",,Walmart,NA,Fresh Pink Lady Apples,NA,0,Pink Lady Apples,Fresh Fruit,2026-09-13 00:00:00,4.97,,,,,,,,,,
"=SUM(K241,M241,O241,Q241,S241,U241)",,Walmart,NA,Fresh Whole Red Potatoes,NA,0,Red Potatoes,Fresh Vegetables,2026-09-13 00:00:00,5.23,,,,,,,,,,
"=SUM(K242,M242,O242,Q242,S242,U242)",,Walmart,NA,Fresh Blueberries,NA,0,Blueberries,Fresh Fruit,2026-09-13 00:00:00,4.67,,,,,,,,,,
"=SUM(K243,M243,O243,Q243,S243,U243)",,Walmart,NA,Fresh Bell Peppers,NA,0,Bell Peppers,Fresh Vegetables,2026-09-13 00:00:00,2.97,,,,,,,,,,
"=SUM(K244,M244,O244,Q244,S244,U244)",,Walmart,NA,Fresh Pears Bartlett Bulk,NA,0,Bartlett Pears,Fresh Fruit,2026-09-13 00:00:00,1.83,,,,,,,,,,
